code|description_content_ENG|description_content_IND|multiLingualCode
AB|AMERICAN BREAKFAST|SARAPAN ALA AMERIKA|AB
AI|ALL INCLUSIVE|SEMUA TERMASUK|AI
AS|ALL INCLUSIVE SPECIAL|SEMUA TERMASUK SPESIAL|AS
BB|BED AND BREAKFAST|KAMAR DAN SARAPAN|BB
BH|1 BED AND BREAKFAST + 1 HALF BOARD|1 KAMAR DAN SARAPAN + 1 HALF BOARD|BH
CB|CONTINENTAL BREAKFAST|SARAPAN KONTINENTAL|CB
DB|BUFFET BREAKFAST|SARAPAN PRASMANAN|BF
FB|FULL BOARD|FULL BOARD|FB
FH|1 HALF BOARD + 1 FULL BOARD|1 HALF BOARD + 1 FULL BOARD|FH
GB|ENGLISH BREAKFAST|SARAPAN ALA INGGRIS|EB
HB|HALF BOARD|HALF BOARD|HB
IB|IRISH BREAKFAST|SARAPAN IRLANDIA|IB
MB|HALF BOARD WITH BEVERAGES INCLUDED|HALF BOARD TERMASUK MINUM|HV
PB|FULL BOARD BEVERAGES INCLUDED|FULL BOARD TERMASUK MINUM|FV
RO|ROOM ONLY|KAMAR SAJA|RO
SB|SCOTTISH BREAKFAST|SARAPAN SKOTLANDIA|SB
SC|SELF CATERING|CATERING SENDIRI|SC
