Id|AirlineCode|AirlineName
0|00|JANET
1|02|VIVA AEROBUS
2|0B|BLUE AIR
3|0V|VIETNAM AIR SERVICE COMPANY
4|1B|BH AIR
5|1D|INTERLINK AIRLINES
6|1L|WEST AIR EXPRESS
7|1X|BRANSON AIR EXPRESS
8|2A|DEUTSCHE BAHN AG
9|2B|AEROCONDOR
10|2C|SNCF
11|2D|DUBROVNIK AIRLINE
12|2E|SMOKEY BAY AIR
13|2F|FRONTIER FLYING SERVICE
14|2H|THALYS
15|2I|STAR PERU
16|2J|AIR BURKINA
17|2K|AEROGAL AEROLINEAS GALAPAGOS
18|2L|HELVETIC AIRWAYS
19|2M|MOLDAVIAN AIRLINES
20|2N|NEXTJET
21|2O|ALASKA AIR
22|2P|AIR PHILIPPINES
23|2Q|AVITRANS NORDIC
24|2R|VIA RAIL CANADA
25|2S|STAR EQUATORIAL AIRLINES
26|2T|TULPAR AVIA SERVICE
27|2U|SUN D’OR INTERNATIONAL AIRLINES
28|2V|AMTRAK
29|2W|WELCOME AIR
30|3A|ALLIANCE AIRLINES/KENOSHA AERO
31|3B|JOB AIR
32|3C|CAMAI AIR
33|3D|DENIM AIR
34|3E|AIR CHOICE ONE
35|3F|PACIFIC AIRWAYS
36|3H|AIR INUIT
37|3J|AIR ALLIANCE
38|3K|JETSTAR ASIA
39|3L|INTERSKY
40|3M|GULFSTREAM INTERNATIONAL
41|3N|AIR URGA
42|3O|AIR ARABIA MAROC
43|3P|TIARA AIR
44|3Q|YUNNAN AIRLINES
45|3R|MOSKOVIA AIRLINES
46|3S|AIR ANTILLES EXPRESS
47|3T|TURAN AIR
48|3U|SICHUAN AIRLINES
49|3V|TNT AIRWAYS
50|3X|JAPAN AIR COMMUTER
51|3Y|KARTIKA AIRLINES
52|3Z|EVERTS AIR/TATONDUK OUTFITTERS
53|43|GOTLANDSFLYG
54|4A|AIR KIRIBATI
55|4B|BOUTIQUE AIR
56|4C|AIRES
57|4D|AIR SINAI
58|4E|TANANA AIR SERVICE
59|4F|AIR-CITY
60|4G|GAZPROMAVIA
61|4H|UNITED AIRWAYS (BANGLADESH)
62|4I|IZAIR
63|4J|SOMON AIR
64|4K|KENN BOREK AIR
65|4L|GEORGIAN INTL AIRLINES
66|4M|LAN ARGENTINA
67|4N|AIR NORTH
68|4O|INTERJET
69|4P|VIKING AIRLINES
70|4Q|SAFI AIRWAYS
71|4R|HI HAMBURG INTERNATIONAL
72|4S|EAST WEST TRAVEL TRADE LINKS LTD
73|4T|BELAIR
74|4U|GERMANWINGS
75|4V|VAYAGEUR AIRWAYS
76|4W|WARBELOW'S AIR VENTURES
77|4Y|BLUE LINE
78|4Z|SA AIRLINK
