Airport Code|Airport Name|City Name|Country Name
0A7|Hendersonville Arpt.|Hendersonville|United States
AAA|AnaaTest|Anaa|French Polynesia
AAB|Arrabury|Arrabury|Australia
AAC|Al Arish Intl. Arpt.|Al Arish|Egypt
AAD|Ad-Dabbah|Ad-Dabbah|Sudan
AAE|Les Salines|Annaba|Algeria
AAF|Municipal|Apalachicola|United States
AAG|Arapoti|Arapoti|Brazil
AAH|Aachen/Merzbruck|Aachen|Germany
AAI|Arraias|Arraias|Brazil
AAJ|Cayana Airstrip|Awaradam|Suriname
AAK|Aranuka|Aranuka|Kiribati
AAL|Aalborg|Aalborg|Denmark
AAM|Mala Mala|Mala Mala|South Africa
AAN|Al Ain|Al Ain|United Arab Emirates
AAO|Anaco|Anaco|Venezuela
AAP|Andrau Airpark|Houston|United States
AAQ|Anapa|Anapa|Russian Federation
AAR|Aarhus Arpt.|Aarhus|Denmark
AAS|Apalapsili|Apalapsili|Indonesia
AAT|Altay|Altay|China
AAU|Asau|Asau|Samoa
AAV|Allah Valley|Surallah|Philippines
AAW|Abbottabad|Abbottabad|Pakistan
AAX|Araxa|Araxa|Brazil
AAY|Al Ghaydah|Al Ghaydah|Yemen
AAZ|Quetzaltenango Airport|Quetzaltenango|Guatemala
ABA|Abakan|Abakan|Russian Federation
ABB|RAF Station|Abingdon|United Kingdom
ABC|Los Llanos|Albacete|Spain
ABD|Abadan|Abadan|Iran
ABE|Lehigh Valley Intl.|Allentown|United States
ABF|Abaiang|Abaiang|Kiribati
ABG|Abingdon|Abingdon|Australia
ABH|Alpha|Alpha|Australia
ABI|Municipal|Abilene|United States
ABJ|Felix Houphouet Boigny|Abidjan|Cote D'Ivoire
ABK|Kabri Dar|Kabri Dar|Ethiopia
ABL|Ambler|Ambler|United States
ABM|Bamaga Injinoo|Bamaga, Queensland|Australia
ABN|Albina|Albina|Suriname
ABO|Aboisso|Aboisso|Cote D'Ivoire
ABP|Atkamba|Atkamba|Papua New Guinea
ABQ|Albuquerque Intl.|Albuquerque|United States
ABR|Municipal|Aberdeen|United States
ABS|Abu Simbel|Abu Simbel|Egypt
ABT|Al-Aqiq|Al-Baha|Saudi Arabia
ABU|Atambua|Atambua|Indonesia
ABV|Nnamdi Azikiwe Intl. Arpt.|Abuja|Nigeria
ABW|Abau|Abau|Papua New Guinea
ABX|Albury|Albury|Australia
ABY|Dougherty County|Albany|United States
ABZ|Dyce|Aberdeen|Scotland, United Kingdom
ACA|General Juan N. Alvarez Intl.|Acapulco|Mexico
ACB|Antrim County|Bellaire|United States
ACC|Kotoka|Accra|Ghana
ACD|Acandi|Acandi|Colombia
ACE|Lanzarote|Arrecife|Spain
ACH|Altenrhein|Altenrhein|Switzerland
ACI|The Blaye|Alderney|United Kingdom
ACJ|Anuradhapura|Anuradhapura|Sri Lanka
ACK|Nantucket Memorial|Nantucket|United States
ACL|Aguaclara|Aguaclara|Colombia
ACM|Arica|Arica|Colombia
ACN|Intl.|Ciudad Acuna|Mexico
ACO|Ascona|Ascona|Switzerland
ACP|Sahand|Sahand|Iran
ACR|Araracuara|Araracuara|Colombia
ACS|Achinsk|Achinsk|Russian Federation
ACT|Municipal|Waco|United States
ACU|Achutupo|Achutupo|Panama
ACV|Arcata|Arcata|United States
ACX|Xingyi|Xingyi|China
ACY|Atlantic City Intl|Atlantic City|United States
ACZ|Zabol A/P|Zabol|Iran
ADA|Adana|Adana|Turkey
ADB|Adnan Menderes|Izmir|Turkey
ADC|Andakombe|Andakombe|Papua New Guinea
ADD|Bole Intl.|Addis Ababa|Ethiopia
ADE|Intl.|Aden|Yemen
ADF|Adiyaman|Adiyaman|Turkey
ADG|Lenawee County|Adrian|United States
ADH|Aldan|Aldan|Russian Federation
ADI|Arandis|Arandis|Namibia
ADJ|Marka Intl. Arpt.|Amman|Jordan
ADK|Adak Island Ns|Adak Island|United States
ADL|Adelaide Intl. Arpt.|Adelaide|Australia
ADM|Ardmore Municipal Arpt|Ardmore|United States
ADN|Andes|Andes|Colombia
ADO|Andamooka|Andamooka|Australia
ADP|Ampara|Ampara|Sri Lanka
ADQ|Kodiak Arpt.|Kodiak|United States
ADR|Andrews|Andrews|United States
ADS|Addison Arpt.|Dallas|United States
ADU|Ardabil|Ardabil|Iran
ADV|Andover|Andover|United Kingdom
ADW|Andrews AFB|Camp Springs|United States
ADX|Leuchars|St Andrews|United Kingdom
ADY|Alldays|Alldays|South Africa
ADZ|San Andres Island|San Andres Island|Colombia
AEA|Abemama Atoll|Abemama Atoll|Kiribati
AED|Aleneva|Aleneva|United States
AEG|Aek Godang|Aek Godang|Indonesia
