Airport Id|Airport Code|Airport Name|City Name|Country Name
0|0A7|Hendersonville Arpt.|Hendersonville|United States
1|AAA|AnaaTest|Anaa|French Polynesia
2|AAB|Arrabury|Arrabury|Australia
3|AAC|Al Arish Intl. Arpt.|Al Arish|Egypt
4|AAD|Ad-Dabbah|Ad-Dabbah|Sudan
5|AAE|Les Salines|Annaba|Algeria
6|AAF|Municipal|Apalachicola|United States
7|AAG|Arapoti|Arapoti|Brazil
8|AAH|Aachen/Merzbruck|Aachen|Germany
9|AAI|Arraias|Arraias|Brazil
10|AAJ|Cayana Airstrip|Awaradam|Suriname
11|AAK|Aranuka|Aranuka|Kiribati
12|AAL|Aalborg|Aalborg|Denmark
13|AAM|Mala Mala|Mala Mala|South Africa
14|AAN|Al Ain|Al Ain|United Arab Emirates
15|AAO|Anaco|Anaco|Venezuela
16|AAP|Andrau Airpark|Houston|United States
17|AAQ|Anapa|Anapa|Russian Federation
18|AAR|Aarhus Arpt.|Aarhus|Denmark
19|AAS|Apalapsili|Apalapsili|Indonesia
20|AAT|Altay|Altay|China
21|AAU|Asau|Asau|Samoa
22|AAV|Allah Valley|Surallah|Philippines
23|AAW|Abbottabad|Abbottabad|Pakistan
24|AAX|Araxa|Araxa|Brazil
25|AAY|Al Ghaydah|Al Ghaydah|Yemen
26|AAZ|Quetzaltenango Airport|Quetzaltenango|Guatemala
27|ABA|Abakan|Abakan|Russian Federation
28|ABB|RAF Station|Abingdon|United Kingdom
29|ABC|Los Llanos|Albacete|Spain
30|ABD|Abadan|Abadan|Iran
31|ABE|Lehigh Valley Intl.|Allentown|United States
32|ABF|Abaiang|Abaiang|Kiribati
33|ABG|Abingdon|Abingdon|Australia
34|ABH|Alpha|Alpha|Australia
35|ABI|Municipal|Abilene|United States
36|ABJ|Felix Houphouet Boigny|Abidjan|Cote D'Ivoire
37|ABK|Kabri Dar|Kabri Dar|Ethiopia
38|ABL|Ambler|Ambler|United States
39|ABM|Bamaga Injinoo|Bamaga|
40|ABN|Albina|Albina|Suriname
41|ABO|Aboisso|Aboisso|Cote D'Ivoire
42|ABP|Atkamba|Atkamba|Papua New Guinea
43|ABQ|Albuquerque Intl.|Albuquerque|United States
44|ABR|Municipal|Aberdeen|United States
45|ABS|Abu Simbel|Abu Simbel|Egypt
46|ABT|Al-Aqiq|Al-Baha|Saudi Arabia
47|ABU|Atambua|Atambua|Indonesia
48|ABV|Nnamdi Azikiwe Intl. Arpt.|Abuja|Nigeria
49|ABW|Abau|Abau|Papua New Guinea
50|ABX|Albury|Albury|Australia
51|ABY|Dougherty County|Albany|United States
52|ABZ|Dyce|Aberdeen|Scotland
53|ACA|General Juan N. Alvarez Intl.|Acapulco|Mexico
54|ACB|Antrim County|Bellaire|United States
55|ACC|Kotoka|Accra|Ghana
56|ACD|Acandi|Acandi|Colombia
57|ACE|Lanzarote|Arrecife|Spain
58|ACH|Altenrhein|Altenrhein|Switzerland
59|ACI|The Blaye|Alderney|United Kingdom
60|ACJ|Anuradhapura|Anuradhapura|Sri Lanka
61|ACK|Nantucket Memorial|Nantucket|United States
62|ACL|Aguaclara|Aguaclara|Colombia
63|ACM|Arica|Arica|Colombia
64|ACN|Intl.|Ciudad Acuna|Mexico
65|ACO|Ascona|Ascona|Switzerland
66|ACP|Sahand|Sahand|Iran
67|ACR|Araracuara|Araracuara|Colombia
68|ACS|Achinsk|Achinsk|Russian Federation
69|ACT|Municipal|Waco|United States
70|ACU|Achutupo|Achutupo|Panama
71|ACV|Arcata|Arcata|United States
72|ACX|Xingyi|Xingyi|China
73|ACY|Atlantic City Intl|Atlantic City|United States
74|ACZ|Zabol A/P|Zabol|Iran
75|ADA|Adana|Adana|Turkey
76|ADB|Adnan Menderes|Izmir|Turkey
77|ADC|Andakombe|Andakombe|Papua New Guinea
78|ADD|Bole Intl.|Addis Ababa|Ethiopia
79|ADE|Intl.|Aden|Yemen
80|ADF|Adiyaman|Adiyaman|Turkey
81|ADG|Lenawee County|Adrian|United States
82|ADH|Aldan|Aldan|Russian Federation
83|ADI|Arandis|Arandis|Namibia
84|ADJ|Marka Intl. Arpt.|Amman|Jordan
85|ADK|Adak Island Ns|Adak Island|United States
86|ADL|Adelaide Intl. Arpt.|Adelaide|Australia
87|ADM|Ardmore Municipal Arpt|Ardmore|United States
88|ADN|Andes|Andes|Colombia
89|ADO|Andamooka|Andamooka|Australia
90|ADP|Ampara|Ampara|Sri Lanka
91|ADQ|Kodiak Arpt.|Kodiak|United States
92|ADR|Andrews|Andrews|United States
93|ADS|Addison Arpt.|Dallas|United States
94|ADU|Ardabil|Ardabil|Iran
95|ADV|Andover|Andover|United Kingdom
96|ADW|Andrews AFB|Camp Springs|United States
97|ADX|Leuchars|St Andrews|United Kingdom
98|ADY|Alldays|Alldays|South Africa
99|ADZ|San Andres Island|San Andres Island|Colombia
100|AEA|Abemama Atoll|Abemama Atoll|Kiribati
101|AED|Aleneva|Aleneva|United States
102|AEG|Aek Godang|Aek Godang|Indonesia
103|AEH|Abecher|Abecher|Chad
104|AEK|Aseki|Aseki|Papua New Guinea
105|AEL|Albert Lea|Albert Lea|United States
106|AEO|Aioun El Atrouss|Aioun El Atrouss|Mauritania
107|AEP|Arpt. Jorge Newbery|Buenos Aires|Argentina
108|AER|Adler/Sochi|Adler/Sochi|Russian Federation
109|AES|Vigra|Aalesund|Norway
110|AET|Allakaket|Allakaket|United States
111|AEU|Abu Musa|Abu Musa|Iran
112|AEX|Alexandria Intl.|Alexandria|
113|AEY|Akureyri|Akureyri|Iceland
114|AFA|San Rafael|San Rafael|Argentina
115|AFD|Port Alfred|Port Alfred|South Africa
116|AFF|USAF Academy Airstrip|Colorado Springs|United States
117|AFI|Amalfi|Amalfi|Colombia
118|AFK|Kondavattavan Tank|Ampara|Sri Lanka
119|AFL|Alta Floresta|Alta Floresta|Brazil
120|AFN|Municipal|Jaffrey|United States
121|AFO|Municipal|Afton|United States
122|AFR|Afore|Afore|Papua New Guinea
123|AFS|Zarafshan|Zarafshan|Uzbekistan
124|AFT|Afutara Aerodrome|Afutara|Solomon Islands
125|AFW|Fort Worth Alliance|Fort Worth|
126|AFY|Afyon|Afyon|Turkey
127|AFZ|Sabzevar|Sabzevar|Iran
128|AGA|Agadir Almassira|Agadir|Morocco
129|AGB|Augsburg - Muehlhausen|Munich|Germany
130|AGC|Allegheny County|Pittsburgh|United States
131|AGD|Anggi|Anggi|Indonesia
132|AGE|Flugplatz|Wangerooge|Germany
133|AGF|La Garenne|Agen|France
134|AGG|Angoram|Angoram|Papua New Guinea
135|AGH|Angelholm|Angelholm/Helsingborg|Sweden
136|AGI|Wageningen|Wageningen|Suriname
137|AGJ|Aguni|Aguni|Japan
138|AGK|Kagua|Kagua|Papua New Guinea
139|AGL|Wanigela|Wanigela|Papua New Guinea
140|AGM|Tasiilaq|Tasiilaq|Greenland
141|AGN|Angoon|Angoon|United States
142|AGO|Municipal|Magnolia|United States
143|AGP|Pablo Ruiz Picasso|Malaga|Spain
144|AGQ|Agrinion|Agrinion|Greece
145|AGR|Kheria|Agra|India
146|AGS|Bush Field|Augusta|United States
147|AGT|Alejo Garcia|Ciudad Del Este|Paraguay
148|AGU|Aguascalients|Aguascalientes|Mexico
149|AGV|Acarigua|Acarigua|Venezuela
150|AGW|Agnew|Agnew|Australia
151|AGX|Agatti Island|Agatti Island|India
152|AGY|Argyle Downs|Argyle Downs|Australia
153|AGZ|Aggeneys|Aggeneys|South Africa
154|AHA|Naha Air Force Base|Okinawa|Japan
155|AHB|Abha|Abha|Saudi Arabia
156|AHC|Amedee AAF|Herlong|United States
157|AHD|Downtown|Ardmore|United States
158|AHE|Ahe Arpt.|Ahe|French Polynesia
159|AHF|Municipal|Arapahoe|United States
160|AHH|Municipal|Amery|United States
161|AHI|Amahai|Amahai|Indonesia
162|AHL|Aishalton|Aishalton|Guyana
163|AHN|Athens|Athens|United States
164|AHO|Fertilia|Alghero|Italy
165|AHS|Ahuas|Ahuas|Honduras
166|AHT|Amchitka|Amchitka|United States
167|AHU|Charif Al Idrissi|Al Hoceima|Morocco
168|AHY|Ambatolahy|Ambatolahy|Madagascar
169|AHZ|Alpe D Huez|Alpe D Huez|France
170|AIA|Alliance|Alliance|United States
171|AIB|Anita Bay|Anita Bay|United States
172|AIC|Airok|Airok|
173|AID|Municipal|Anderson|United States
174|AIE|Aiome|Aiome|Papua New Guinea
175|AIF|Assis|Assis|Brazil
176|AIG|Yalinga|Yalinga|Central African Republic
177|AIH|Aiambak|Aiambak|Papua New Guinea
178|AII|Alisabieh|Alisabieh|Djibouti
179|AIK|Municipal|Aiken|United States
180|AIL|Ailigandi|Ailigandi|Panama
181|AIM|Ailuk Island|Ailuk Island|Marshall Islands
182|AIN|Wainwright|Wainwright|United States
183|AIO|Municipal|Atlantic|United States
184|AIP|Ailinglapalap Island|Ailinglapalap Island|Marshall Islands
185|AIS|Arorae Island|Arorae Island|Kiribati
186|AIT|Aitutaki|Aitutaki|Cook Islands
187|AIU|Atiu Island|Atiu Island|Cook Islands
188|AIV|George Downer|Aliceville|United States
189|AIW|Ai-ais|Ai-ais|Namibia
190|AIY|Bader Field|Atlantic City|United States
191|AIZ|Lee C Fine Memorial|Kaiser/Lake Ozark|United States
192|AJA|Campo Dell Oro|Ajaccio|France
193|AJF|Jouf|Sakaka Al Jouf|Saudi Arabia
194|AJI|AÄŸri|Agri|Turkey
195|AJJ|Akjoujt|Akjoujt|Mauritania
196|AJK|Araak|Araak|Iran
197|AJL|Aizawl|Aizawl|India
198|AJN|Ouani|Anjouan|Comoros
199|AJO|Aljouf|Aljouf|Yemen
200|AJR|Arvidsjaur|Arvidsjaur|Sweden
201|AJS|Abreojos|Abreojos|Mexico
202|AJU|Santa Maria|Aracaju|Brazil
203|AJY|Agades|Agades|Niger
204|AKA|Ankang|Ankang|China
205|AKB|Atka|Atka|United States
206|AKC|Fulton Intl.|Akron/Canton|United States
207|AKD|Akola|Akola|India
208|AKE|Akieni|Akieni|Gabon
209|AKF|Kufrah|Kufrah|Libya
210|AKG|Anguganak|Anguganak|Papua New Guinea
211|AKH|Prince Sultan Air Base|Al Kharj|Saudi Arabia
212|AKI|Akiak|Akiak|United States
213|AKJ|Asahikawa|Asahikawa|Japan
214|AKK|Akhiok SPB|Akhiok|United States
215|AKL|Auckland Intl.|Auckland|New Zealand
216|AKM|Zakouma|Zakouma|Chad
217|AKN|King Salmon|King Salmon|United States
218|AKO|Colorado Plains Regional Arpt.|Akron|
219|AKP|Anaktuvuk|Anaktuvuk|United States
220|AKQ|Gunung Batin|Astraksetra|Indonesia
221|AKR|Akure|Akure|Nigeria
222|AKT|Akrotiri Raf|Akrotiri|Cyprus
223|AKU|Aksu|Aksu|China
224|AKV|Akulivik|Akulivik|Canada
225|AKW|Aghajari|Aghajari|Iran
226|AKX|Aktyubinsk|Aktyubinsk|Kazakhstan
227|AKY|Civil|Sittwe|Myanmar
228|ALA|Almaty|Almaty|Kazakhstan
229|ALB|Albany Intl.|Albany|United States
230|ALC|Alicante El Altet|Alicante|Spain
231|ALD|Alerta|Alerta|Peru
232|ALE|Alpine|Alpine|United States
233|ALF|Alta|Alta|Norway
234|ALG|Houari Boumediene|Algiers|Algeria
235|ALH|Albany|Albany|Australia
236|ALI|Intl.|Alice|United States
237|ALJ|Kortdoorn|Alexander Bay|South Africa
238|ALK|Asela|Asela|Ethiopia
239|ALL|Albenga|Albenga|Italy
240|ALM|Municipal|Alamogordo|United States
241|ALN|Alton|Alton|United States
242|ALO|Waterloo|Waterloo|United States
243|ALP|Nejrab|Aleppo|Syria
244|ALQ|Federal|Alegrete|Brazil
245|ALR|Alexandra|Alexandra|New Zealand
246|ALS|Municipal|Alamosa|United States
247|ALT|Alenquer|Alenquer|Brazil
248|ALU|Alula|Alula|Somalia
249|ALV|Andorra La Vella H/P|Andorra La Vella|Andorra
250|ALW|Walla Walla|Walla Walla|United States
251|ALX|Thomas C Russell Fld|Alexander City|United States
252|ALY|El Nohza|Alexandria|Egypt
253|ALZ|Alitak SPB|Alitak|United States
254|AMA|Rick Husband Amarillo Intl.|Amarillo|
255|AMB|Ambilobe|Ambilobe|Madagascar
256|AMC|Am Timan|Am Timan|Chad
257|AMD|Ahmedabad|Ahmedabad|India
258|AME|Alto Molocue|Alto Molocue|Mozambique
259|AMF|Ama|Ama|Papua New Guinea
260|AMG|Amboin|Amboin|Papua New Guinea
261|AMH|Arba Mintch|Arba Mintch|Ethiopia
262|AMI|Selaparang|Mataram|Indonesia
263|AMJ|Almenara|Almenara|Brazil
264|AMK|Animas Airpark|Durango|United States
265|AML|Puerto Armuellas|Puerto Armuellas|Panama
266|AMM|Queen Alia Intl|Amman|Jordan
267|AMN|Gratiot Community|Alma|United States
268|AMO|Mao|Mao|Chad
269|AMP|Ampanihy|Ampanihy|Madagascar
270|AMQ|Pattimura|Ambon|Indonesia
271|AMR|Arno|Arno|Marshall Islands
272|AMS|Amsterdam-Schiphol|Amsterdam|Netherlands
273|AMT|Amata|Amata|Australia
274|AMU|Amanab|Amanab|Papua New Guinea
275|AMV|Amderma|Amderma|Russian Federation
276|AMW|Ames|Ames|United States
277|AMX|Ammaroo|Ammaroo|Australia
278|AMY|Ambatomainty|Ambatomainty|Madagascar
279|AMZ|Ardmore|Ardmore|New Zealand
280|ANA|Orange County Steel Salvage Heliport|Anaheim|United States
281|ANB|Anniston Metropolitan|Anniston|United States
282|ANC|Ted Stevens Anchorage Intl. Arpt.|Anchorage|United States
283|AND|Anderson|Anderson|United States
284|ANE|Marce|Angers|France
285|ANF|Cerro Moreno|Antofagasta|Chile
286|ANG|Brie-Champniers|Angouleme|France
287|ANH|Anuha Island Resort|Anuha Island Resort|Solomon Islands
288|ANI|Aniak|Aniak|United States
289|ANJ|Zanaga|Zanaga|Congo
290|ANK|Etimesgut|Ankara|Turkey
291|ANL|Andulo|Andulo|Angola
292|ANM|Antsirabato|Antalaha|Madagascar
293|ANN|Annette Island|Annette Island|United States
294|ANO|Angoche|Angoche|Mozambique
295|ANP|Lee|Annapolis|United States
296|ANQ|Tri-State Steuben Cty|Angola|United States
297|ANR|Deurne|Antwerp|Belgium
298|ANS|Andahuaylas|Andahuaylas|Peru
299|ANU|V. C. Bird Intl|St. John's|Antigua And Barbuda
300|ANV|Anvik|Anvik|United States
301|ANW|Ainsworth|Ainsworth|United States
302|ANX|Andenes|Andenes|Norway
303|ANY|Anthony|Anthony|United States
304|ANZ|Angus Downs|Angus Downs|Australia
305|AOA|Aroa|Aroa|Papua New Guinea
306|AOB|Annanberg|Annanberg|Papua New Guinea
307|AOC|Altenburg Nobitz|Altenburg|Germany
308|AOD|Abou Deia|Abou Deia|Chad
309|AOE|Anadolu University|Eskisehir|Turkey
310|AOG|Anshan|Anshan|China
311|AOH|Allen County|Lima|United States
312|AOI|Falconara|Ancona|Italy
313|AOJ|Aomori|Aomori|Japan
314|AOK|Karpathos|Karpathos|Greece
315|AOL|Paso De Los Libres|Paso De Los Libres|Argentina
316|AON|Arona|Arona|Papua New Guinea
317|AOO|Martinsburg|Martinsburg|United States
318|AOR|Alor Setar|Alor Setar|Malaysia
319|AOS|Amook|Amook|United States
320|AOU|Attopeu|Attopeu|Laos
321|APA|Arapahoe Co|Denver|United States
322|APB|Apolo|Apolo|Bolivia
323|APC|Napa County|Napa|United States
324|APE|San Juan Aposento|San Juan Aposento|Peru
325|APF|Naples|Naples|United States
326|APG|Phillips AAF|Aberdeen|United States
327|APH|Camp A P Hill|Bowling Green|United States
328|API|Apiay|Apiay|Colombia
329|APK|Apataki|Apataki|French Polynesia
330|APL|Nampula|Nampula|Mozambique
331|APN|Alpena County Regional|Alpena|United States
332|APO|Apartado|Apartado|Colombia
333|APP|Asapa|Asapa|Papua New Guinea
334|APQ|Arapiraca|Arapiraca|Brazil
335|APR|April River|April River|Papua New Guinea
336|APS|Anapolis|Anapolis|Brazil
337|APT|Marion County|Jasper|United States
338|APU|Apucarana|Apucarana|Brazil
339|APV|Apple Valley|Apple Valley|United States
340|APW|Faleolo|Apia|Samoa
341|APX|Arapongas|Arapongas|Brazil
342|APY|Alto Parnaiba|Alto Parnaiba|Brazil
343|APZ|Zapala|Zapala|Argentina
344|AQA|Araraquara|Araraquara|Brazil
345|AQB|Quiche Arpt.|Quiche|Guatemala
346|AQG|Anqing|Anqing|China
347|AQI|Qaisumah|Qaisumah|Saudi Arabia
348|AQJ|King Hussein Intl|Aqaba|Jordan
349|AQM|Ariquemes|Ariquemes|Brazil
350|AQP|Rodriguez Ballon|Arequipa|Peru
351|AQS|Saqani|Saqani|Fiji
352|AQY|Alyeska|Alyeska|United States
353|ARA|Acadiana Regional|New Iberia|United States
354|ARB|Municipal|Ann Arbor|
355|ARC|Arctic Village|Arctic Village|United States
356|ARD|Alor Island|Alor Island|Indonesia
357|ARE|Arecibo|Arecibo|Puerto Rico
358|ARF|Acaricuara|Acaricuara|Colombia
359|ARG|Walnut Ridge|Walnut Ridge|United States
360|ARH|Arkhangelsk|Arkhangelsk|Russian Federation
361|ARI|Chacalluta|Arica|Chile
362|ARJ|Arso|Arso|Indonesia
363|ARK|Arusha|Arusha|Tanzania
364|ARL|Arly|Arly|Burkina Faso
365|ARM|Armidale|Armidale|Australia
366|ARN|Arlanda|Stockholm|Sweden
367|ARO|Arboletas|Arboletas|Colombia
368|ARP|Aragip|Aragip|Papua New Guinea
369|ARQ|Arauquita|Arauquita|Colombia
370|ARR|Alto Rio Senguerr|Alto Rio Senguerr|Argentina
371|ARS|Aragarcas|Aragarcas|Brazil
372|ART|Watertown|Watertown|United States
373|ARU|Aracatuba|Aracatuba|Brazil
374|ARV|Noble F. Lee|Minocqua|United States
375|ARW|Arad|Arad|Romania
376|ARX|Asbury Park|Neptune|
377|ARY|Ararat|Ararat|Australia
378|ASA|Assab Intl.|Assab|Eritrea
379|ASB|Ashgabat|Ashgabat|Turkmenistan
380|ASC|Ascension|Ascension|Bolivia
381|ASD|Andros Town|Andros Town|Bahamas
382|ASE|Aspen|Aspen|United States
383|ASF|Astrakhan|Astrakhan|Russian Federation
384|ASG|Ashburton|Ashburton|New Zealand
