RoomCd|RoomType|RoomCharacteristic|minPax|maxPax|maxAdults|maxChildren|minAdults|Description__ENG|TypeDescription__ENG|CharacteristicDescription__ENG|Description__IND|TypeDescription__IND|CharacteristicDescription__IND
APT.1B|APT|1B|0|5|5|3|1|APARTMENT ONE BED|APARTMENT|ONE BED|APARTEMEN SATU RANJANG|APARTEMEN|SATU RANJANG
APT.1B-1|APT|1B-1|1|4|4|3|1|APARTMENT ONE BED|APARTMENT|ONE BED|APARTEMEN SATU RANJANG|APARTEMEN|SATU RANJANG
APT.1B-DX|APT|1B-DX|1|4|4|3|1|APARTMENT DELUXE ONE BED|APARTMENT|DELUXE ONE BED|APARTEMEN DELUKS SATU RANJANG|APARTEMEN|DELUKS SATU RANJANG
APT.1W-B1|APT|1W-B1|1|8|8|7|1|APARTMENT ONE BEDROOM ONE BATHROOM|APARTMENT|ONE BEDROOM ONE BATHROOM|APARTEMEN SATU KAMAR TIDUR SATU KAMAR MANDI|APARTEMEN|SATU KAMAR TIDUR SATU KAMAR MANDI
APT.1W-B2|APT|1W-B2|1|12|12|11|1|APARTMENT TWO BEDROOMS ONE BATHROOM|APARTMENT|TWO BEDROOMS ONE BATHROOM|APARTEMEN DUA KAMAR TIDUR SATU KAMAR MANDI|APARTEMEN|DUA KAMAR TIDUR SATU KAMAR MANDI
APT.1W-B3|APT|1W-B3|1|12|12|11|3|APARTMENT THREE BEDROOMS ONE BATHROOM|APARTMENT|THREE BEDROOMS ONE BATHROOM|APARTEMEN TIGA KAMAR TIDUR SATU KAMAR MANDI|APARTEMEN|TIGA KAMAR TIDUR SATU KAMAR MANDI
APT.1W-B4|APT|1W-B4|1|18|18|17|1|APARTMENT FOUR BEDROOMS ONE BATHROOM|APARTMENT|FOUR BEDROOMS ONE BATHROOM|APARTEMEN EMPAT KAMAR TIDUR SATU KAMAR MANDI|APARTEMEN|EMPAT KAMAR TIDUR SATU KAMAR MANDI
APT.2B|APT|2B|0|7|6|6|1|APARTMENT TWO BEDS|APARTMENT|TWO BEDS|APARTEMEN DUA RANJANG|APARTEMEN|DUA RANJANG
APT.2B-1|APT|2B-1|1|6|6|2|1|APARTMENT TWO BEDS|APARTMENT|TWO BEDS|APARTEMEN DUA RANJANG|APARTEMEN|DUA RANJANG
APT.2B-DX|APT|2B-DX|1|6|6|5|1|APARTMENT DELUXE TWO BEDS|APARTMENT|DELUXE TWO BEDS|APARTEMEN DELUKS DUA RANJANG|APARTEMEN|DELUKS DUA RANJANG
APT.2D|APT|2D|0|4|4|3|1|APARTMENT TWO DOUBLE BEDS|APARTMENT|TWO DOUBLE BEDS|APARTEMEN DUA RANJANG DOUBLE|APARTEMEN|DUA RANJANG DOUBLE
APT.2D-DX|APT|2D-DX|1|7|7|6|1|APARTMENT DELUXE TWO DOUBLE BEDS|APARTMENT|DELUXE TWO DOUBLE BEDS|APARTEMEN DELUKS DUA RANJANG DOUBLE|APARTEMEN|DELUKS DUA RANJANG DOUBLE
APT.2D-NM|APT|2D-NM|1|6|6|5|1|APARTMENT TWO DOUBLE BEDS NON SMOKING|APARTMENT|TWO DOUBLE BEDS NON SMOKING|APARTEMEN DUA RANJANG DOUBLE BEBAS-ROKOK|APARTEMEN|DUA RANJANG DOUBLE BEBAS-ROKOK
APT.2D-SU|APT|2D-SU|1|4|4|2|1|APARTMENT SUPERIOR TWO DOUBLE BEDS|APARTMENT|SUPERIOR TWO DOUBLE BEDS|APARTEMEN SUPERIOR DUA RANJANG DOUBLE|APARTEMEN|SUPERIOR DUA RANJANG DOUBLE
APT.2K|APT|2K|0|4|4|3|1|APARTMENT TWO KING BEDS|APARTMENT|TWO KING BEDS|APARTEMEN DUA RANJANG KING|APARTEMEN|DUA RANJANG KING
APT.2Q|APT|2Q|0|8|4|7|1|APARTMENT TWO QUEEN BEDS|APARTMENT|TWO QUEEN BEDS|APARTEMEN DUA RANJANG QUEEN|APARTEMEN|DUA RANJANG QUEEN
APT.2Q-B1|APT|2Q-B1|1|5|4|1|1|APARTMENT TWO QUEEN BEDS ONE BEDROOM|APARTMENT|TWO QUEEN BEDS ONE BEDROOM|APARTEMEN DUA RANJANG QUEEN SATU KAMAR TIDUR|APARTEMEN|DUA RANJANG QUEEN SATU KAMAR TIDUR
APT.2Q-DX|APT|2Q-DX|1|6|6|5|1|APARTMENT DELUXE TWO QUEEN BEDS|APARTMENT|DELUXE TWO QUEEN BEDS|APARTEMEN DELUKS DUA RANJANG QUEEN|APARTEMEN|DELUKS DUA RANJANG QUEEN
APT.2Q-OV|APT|2Q-OV|1|2|2|1|1|APARTMENT OCEAN VIEW TWO QUEEN BEDS|APARTMENT|OCEAN VIEW TWO QUEEN BEDS|APARTEMEN PEMANDANGAN SAMUDRA DUA RANJANG QUEEN|APARTEMEN|PEMANDANGAN SAMUDRA DUA RANJANG QUEEN
APT.2W-B1|APT|2W-B1|1|10|10|9|1|APARTMENT ONE BEDROOM TWO BATHROOMS|APARTMENT|ONE BEDROOM TWO BATHROOMS|APARTEMEN SATU KAMAR TIDUR DUA KAMAR MANDI|APARTEMEN|SATU KAMAR TIDUR DUA KAMAR MANDI
APT.2W-B2|APT|2W-B2|1|12|12|11|1|APARTMENT TWO BEDROOMS TWO BATHROOMS|APARTMENT|TWO BEDROOMS TWO BATHROOMS|APARTEMEN DUA KAMAR TIDUR DUA KAMAR MANDI|APARTEMEN|DUA KAMAR TIDUR DUA KAMAR MANDI
APT.2W-B3|APT|2W-B3|1|14|14|11|1|APARTMENT THREE BEDROOMS TWO BATHROOMS|APARTMENT|THREE BEDROOMS TWO BATHROOMS|APARTEMEN TIGA KAMAR TIDUR DUA KAMAR MANDI|APARTEMEN|TIGA KAMAR TIDUR DUA KAMAR MANDI
APT.2W-B4|APT|2W-B4|1|12|12|11|1|APARTMENT FOUR BEDROOMS TWO BATHROOMS|APARTMENT|FOUR BEDROOMS TWO BATHROOMS|APARTEMEN EMPAT KAMAR TIDUR DUA KAMAR MANDI|APARTEMEN|EMPAT KAMAR TIDUR DUA KAMAR MANDI
APT.2W-B5|APT|2W-B5|1|14|14|13|1|APARTMENT FIVE BEDROOMS TWO BATHROOMS|APARTMENT|FIVE BEDROOMS TWO BATHROOMS|APARTEMEN LIMA KAMAR TIDUR DUA KAMAR MANDI|APARTEMEN|LIMA KAMAR TIDUR DUA KAMAR MANDI
APT.2W-B6|APT|2W-B6|1|8|8|7|1|APARTMENT SIX BEDROOMS TWO BATHROOMS|APARTMENT|SIX BEDROOMS TWO BATHROOMS|APARTEMEN ENAM KAMAR TIDUR DUA KAMAR MANDI|APARTEMEN|ENAM KAMAR TIDUR DUA KAMAR MANDI
APT.3B|APT|3B|1|9|9|6|1|APARTMENT THREE BEDS|APARTMENT|THREE BEDS|APARTEMEN TIGA RANJANG|APARTEMEN|TIGA RANJANG
APT.3W-B1|APT|3W-B1|1|12|12|11|1|APARTMENT ONE BEDROOM THREE BATHROOMS|APARTMENT|ONE BEDROOM THREE BATHROOMS|APARTEMEN SATU KAMAR TIDUR TIGA KAMAR MANDI|APARTEMEN|SATU KAMAR TIDUR TIGA KAMAR MANDI
APT.3W-B2|APT|3W-B2|1|16|16|15|1|APARTMENT TWO BEDROOMS THREE BATHROOMS|APARTMENT|TWO BEDROOMS THREE BATHROOMS|APARTEMEN DUA KAMAR TIDUR TIGA KAMAR MANDI|APARTEMEN|DUA KAMAR TIDUR TIGA KAMAR MANDI
APT.3W-B3|APT|3W-B3|1|16|16|15|3|APARTMENT THREE BEDROOMS THREE BATHROOMS|APARTMENT|THREE BEDROOMS THREE BATHROOMS|APARTEMEN TIGA KAMAR TIDUR TIGA KAMAR MANDI|APARTEMEN|TIGA KAMAR TIDUR TIGA KAMAR MANDI
APT.3W-B4|APT|3W-B4|1|14|14|13|1|APARTMENT FOUR BEDROOMS THREE BATHROOMS|APARTMENT|FOUR BEDROOMS THREE BATHROOMS|APARTEMEN EMPAT KAMAR TIDUR TIGA KAMAR MANDI|APARTEMEN|EMPAT KAMAR TIDUR TIGA KAMAR MANDI
APT.3W-B5|APT|3W-B5|1|13|13|12|1|APARTMENT FIVE BEDROOMS THREE BATHROOMS|APARTMENT|FIVE BEDROOMS THREE BATHROOMS|APARTEMEN LIMA KAMAR TIDUR TIGA KAMAR MANDI|APARTEMEN|LIMA KAMAR TIDUR TIGA KAMAR MANDI
APT.3W-B6|APT|3W-B6|1|13|13|12|1|APARTMENT SIX BEDROOMS THREE BATHROOMS|APARTMENT|SIX BEDROOMS THREE BATHROOMS|APARTEMEN ENAM KAMAR TIDUR TIGA KAMAR MANDI|APARTEMEN|ENAM KAMAR TIDUR TIGA KAMAR MANDI
APT.AC|APT|AC|1|4|4|3|1|APARTMENT WITH AIR CONDITIONING|APARTMENT|WITH AIR CONDITIONING|APARTEMEN DENGAN AC|APARTEMEN|DENGAN AC
APT.AC-1|APT|AC-1|1|3|3|2|1|APARTMENT WITH AIR CONDITIONING|APARTMENT|WITH AIR CONDITIONING|APARTEMEN DENGAN AC|APARTEMEN|DENGAN AC
APT.AC-B1|APT|AC-B1|1|6|6|2|1|APARTMENT ONE BEDROOM WITH AIR CONDITIONING|APARTMENT|ONE BEDROOM WITH AIR CONDITIONING|APARTEMEN SATU KAMAR DENGAN AC|APARTEMEN|SATU KAMAR DENGAN AC
APT.AC-B2|APT|AC-B2|0|6|6|2|1|APARTMENT TWO BEDROOMS WITH AIR CONDITIONING|APARTMENT|TWO BEDROOMS WITH AIR CONDITIONING|APARTEMEN DUA KAMAR DENGAN AC|APARTEMEN|DUA KAMAR DENGAN AC
