Id|AirlineCode|AirlineName|AirlineFullName|AirlineType
0|0|JANET|JANET|
1|2|VIVA AEROBUS|VIVA AEROBUS|
2|0B|BLUE AIR|BLUE AIR|
3|0V|VIETNAM AIR SERVICE COMPANY|VIETNAM AIR SERVICE COMPANY|
4|1B|BH AIR|BH AIR|
5|1D|INTERLINK AIRLINES|INTERLINK AIRLINES|
6|1L|WEST AIR EXPRESS|WEST AIR EXPRESS|
7|1X|BRANSON AIR EXPRESS|BRANSON AIR EXPRESS|
8|2A|DEUTSCHE BAHN AG|DEUTSCHE BAHN AG|
9|2B|AEROCONDOR|AEROCONDOR|
10|2C|SNCF|SNCF|
11|2D|DUBROVNIK AIRLINE|DUBROVNIK AIRLINE|
12|2E|SMOKEY BAY AIR|SMOKEY BAY AIR|
13|2F|FRONTIER FLYING SERVICE|FRONTIER FLYING SERVICE|
14|2H|THALYS|THALYS|
15|2I|STAR PERU|STAR PERU|
16|2J|AIR BURKINA|AIR BURKINA|
17|2K|AEROGAL AEROLINEAS GALAPAGOS|AEROGAL AEROLINEAS GALAPAGOS|
18|2L|HELVETIC AIRWAYS|HELVETIC AIRWAYS|
19|2M|MOLDAVIAN AIRLINES|MOLDAVIAN AIRLINES|
20|2N|NEXTJET|NEXTJET|
21|2O|ALASKA AIR|ALASKA AIR|
22|2P|AIR PHILIPPINES|AIR PHILIPPINES|
23|2Q|AVITRANS NORDIC|AVITRANS NORDIC|
24|2R|VIA RAIL CANADA|VIA RAIL CANADA|
25|2S|STAR EQUATORIAL AIRLINES|STAR EQUATORIAL AIRLINES|
26|2T|TULPAR AVIA SERVICE|TULPAR AVIA SERVICE|
27|2U|SUN D’OR INTERNATIONAL AIRLINES|SUN D’OR INTERNATIONAL AIRLINES|
28|2V|AMTRAK|AMTRAK|
29|2W|WELCOME AIR|WELCOME AIR|
30|3A|ALLIANCE AIRLINES/KENOSHA AERO|ALLIANCE AIRLINES/KENOSHA AERO|
31|3B|JOB AIR|JOB AIR|
32|3C|CAMAI AIR|CAMAI AIR|
33|3D|DENIM AIR|DENIM AIR|
34|3E|AIR CHOICE ONE|AIR CHOICE ONE|
35|3F|PACIFIC AIRWAYS|PACIFIC AIRWAYS|
36|3H|AIR INUIT|AIR INUIT|
37|3J|AIR ALLIANCE|AIR ALLIANCE|
38|3K|JETSTAR ASIA|JETSTAR ASIA|
39|3L|INTERSKY|INTERSKY|
40|3M|GULFSTREAM INTERNATIONAL|GULFSTREAM INTERNATIONAL|
41|3N|AIR URGA|AIR URGA|
42|3O|AIR ARABIA MAROC|AIR ARABIA MAROC|
43|3P|TIARA AIR|TIARA AIR|
44|3Q|YUNNAN AIRLINES|YUNNAN AIRLINES|
45|3R|MOSKOVIA AIRLINES|MOSKOVIA AIRLINES|
46|3S|AIR ANTILLES EXPRESS|AIR ANTILLES EXPRESS|
47|3T|TURAN AIR|TURAN AIR|
48|3U|SICHUAN AIRLINES|SICHUAN AIRLINES|
49|3V|TNT AIRWAYS|TNT AIRWAYS|
50|3X|JAPAN AIR COMMUTER|JAPAN AIR COMMUTER|
51|3Y|KARTIKA AIRLINES|KARTIKA AIRLINES|
52|3Z|EVERTS AIR/TATONDUK OUTFITTERS|EVERTS AIR/TATONDUK OUTFITTERS|
53|43|GOTLANDSFLYG|GOTLANDSFLYG|
54|4A|AIR KIRIBATI|AIR KIRIBATI|
55|4B|BOUTIQUE AIR|BOUTIQUE AIR|
56|4C|AIRES|AIRES|
57|4D|AIR SINAI|AIR SINAI|
58|4E|TANANA AIR SERVICE|TANANA AIR SERVICE|
59|4F|AIR-CITY|AIR-CITY|
60|4G|GAZPROMAVIA|GAZPROMAVIA|
61|4H|UNITED AIRWAYS (BANGLADESH)|UNITED AIRWAYS (BANGLADESH)|
62|4I|IZAIR|IZAIR|
63|4J|SOMON AIR|SOMON AIR|
64|4K|KENN BOREK AIR|KENN BOREK AIR|
65|4L|GEORGIAN INTL AIRLINES|GEORGIAN INTL AIRLINES|
66|4M|LAN ARGENTINA|LAN ARGENTINA|
67|4N|AIR NORTH|AIR NORTH|
68|4O|INTERJET|INTERJET|
69|4P|VIKING AIRLINES|VIKING AIRLINES|
70|4Q|SAFI AIRWAYS|SAFI AIRWAYS|
71|4R|HI HAMBURG INTERNATIONAL|HI HAMBURG INTERNATIONAL|
72|4S|EAST WEST TRAVEL TRADE LINKS LTD|EAST WEST TRAVEL TRADE LINKS LTD|
73|4T|BELAIR|BELAIR|
74|4U|GERMANWINGS|GERMANWINGS|
75|4V|VAYAGEUR AIRWAYS|VAYAGEUR AIRWAYS|
76|4W|WARBELOW'S AIR VENTURES|WARBELOW'S AIR VENTURES|
77|4Y|BLUE LINE|BLUE LINE|
78|4Z|SA AIRLINK|SA AIRLINK|
79|5A|ALPINE AVIATION|ALPINE AVIATION|
80|5B|CHANCHANGI AIRLINES|CHANCHANGI AIRLINES|
81|5C|TRAVELAIR|TRAVELAIR|
82|5D|AEROLITORAL S.A. DE C.V|AEROLITORAL S.A. DE C.V|
83|5E|EQUAFLIGHT SERVICE|EQUAFLIGHT SERVICE|
84|5F|ARCTIC CIRCLE AIR|ARCTIC CIRCLE AIR|
85|5H|FIVE FOURTY AVIATION LTD|FIVE FOURTY AVIATION LTD|
86|5J|CEBU PACIFIC AIR|CEBU PACIFIC AIR|
87|5K|ODESSA AIRLINES|ODESSA AIRLINES|
88|5L|AEROSUR|AEROSUR|
89|5M|FLYMONTSERRAT|FLYMONTSERRAT|
90|5N|NORDAVIA RA|NORDAVIA RA|
91|5O|EUROPE AIRPOST|EUROPE AIRPOST|
92|5P|PAL AIRLINES|PAL AIRLINES|
93|5Q|BQB LÍNEAS AÉREAS|BQB LÍNEAS AÉREAS|
94|5R|AIS AERO|AIS AERO|
95|5S|SERVICIOS AEREOS PROFESIONALES|SERVICIOS AEREOS PROFESIONALES|
96|5T|CANADIAN NORTH/AIR NORTERRA INC|CANADIAN NORTH/AIR NORTERRA INC|
97|5U|LADE LINEAS AEREAS DEL ESTADO|LADE LINEAS AEREAS DEL ESTADO|
98|5V|LVIV AIRLINES|LVIV AIRLINES|
99|5W|FLYSTAR ASTRAEUS|FLYSTAR ASTRAEUS|
100|5X|UNITED PARCEL SERVICE AIRLINES|UNITED PARCEL SERVICE AIRLINES|
101|5Y|ATLAS AIR|ATLAS AIR|
102|5Z|GONINI AIR SERV|GONINI AIR SERV|
103|6A|AVIACSA|AVIACSA|
