Code|FilterGroup
70320|Park
70560|Park
60100|Internet
70250|Internet
60261|Internet
70550|Internet
7030|FrontDesk
60306|SwimmingPool
60313|SwimmingPool
71200|Restaurant
72575|MeetingRoom
74460|Spa
74620|Spa
10124|DisabilityRoom
60250|WheelChair
7070|Lift
70470|Gym/Fitness
90295|Gym/Fitness
90260|Sport
90270|Sport
90280|Sport
90300|Sport
90310|Sport
90320|Sport
90325|Sport
90330|Sport
90335|Sport
90340|Sport
90350|Sport
90360|Sport
90370|Sport
90380|Sport
90390|Sport
90410|Sport
90430|Sport
90440|Sport
90450|Sport
90460|Sport
90470|Sport
90480|Sport
90490|Sport
90500|Sport
90510|Sport
90520|Sport
90530|Sport
9090|Sport
