code|description__content
13CO|13 COINS HOTELS
1834|1834 HOTELS
3K|3K
4RHOT|4RHotels
7DAYS|7 DAYS INN
9HCOL|9 Hotel Collection
A1|A-ONE HOTELS
A10|A10 Hotels
A2HOT|A2 HOTELS
A3000|APARTAMENTOS 3000
AAAHR|AAA HOTELS & RESORTS
AACR|CADENA HOTELERA  AACR
AADES|
AAHTL|
AANDO|A& O HOTELS and HOSTELS Holding AG
ABAD|ABAD GROUP OF HOTELS
ABADE|ABADES
ABBA|ABBA HOTELS
ABCGR|ABC GROUP OF HOTELS
ABERD|ABERDEEN DOUGLAS HOTEL LIMITED
ABSO|ABSOLUTE RESORTS & HOTELS
ABSOL|ABSOLUTE HOTELS SERVICES
ABVI|AMERICA'S BEST VALUE INN
ACADE|ACADEMIA HOTELS
ACCEN|ACCENT INN
ACCOR|ACCOR HOTELS
ACE|ACE HOTELS
ACEVI|ACEVI
ACHAT|ACHAT HOTELS DEUTSCHLAND
ACORS|ACORSONHO
ACROT|
ACTHO|ACTAHOTELS
ADALY|
ADD|Add on Hotels
ADDHT|
ADHOC|AD HOC
ADONI|ADONIS MANAGEMENT
ADRIA|ADRIAN HOTELES
ADRIL|ADRIATIC LUXURY HOTELS
AEONH|AEON PLAZA HOTELS
AEROW|AEROWISATA
AETAS|
AFFIN|AFFINIA HOTELS
AFINI|AFINIA HOTELES
AFRIC|AFRICAN ANTHOLOGY
AFSKY|AFRICAN SKY HOTELS AND RESORTS
AFSUN|AFRICAN SUN HOTELS AND RESORTS
AGH|AGH
AGON|AGON Group GmbH
AGUA|AGUA hotels
AGUAS|AGUAS DE PANTICOSA
AHG|AMSTERDAM HOSPITALITY GROUP
AHHOT|AH HOTELS
AHIMS|THE AHIMSA GROUP
AHISR|"ATLAS HOTELS| ISRAEL"
AHOTE|AHOTELS
AHRA|AHRA
AIDA|AIDA
AIROT|AIROTEL
AITKE|AITKEN SPENCE HOTELS
AIYA|AIYA GROUP
AJUDA|Ajuda Hotels
AKKA|AKKA HOTELS
AKROP|AKROPOLE A.E.
AKS|AKS Hotels
AKUS|AKUS
AL HO|AL HOKAIR GROUP
ALAM|ALAM GROUP
ALARK|ALARKO GROUPS HOTELS
ALBA|ALBA HOTELS & RESORT
ALBAT|ALBATROZ HOTELS
ALBOR|ALBORAN
ALDA|ALDA HOTELS
ALDEA|HOTELES ALDEA DEL BAZAR
ALDEM|Aldemar Hotels
ALDIA|AL DIAR
ALE|ALEENTA HOTELS
ALEXH|ALEXANDRE HOTELS
ALFAG|Alfagar
ALFAM|Alfamar
ALGAR|S'ALGAR HOTELS
ALGRE|ALGARVE RESORTS
ALHAM|AL HAMRA HOTELS MANAGEMENT
ALILA|ALLIA HOTELS & RESORTS
ALLE|ALL LEISURE LTD
ALLHO|ALLIANCE HOSPITALITY
ALLIE|ALLIED FRIEZE HOTELS
ALLSU|ALLSUN
ALMAN|
ALPHA|Alpha hotels and resort
ALSG|ALS RESORT
ALSOL|ALGARVESOL
ALTHU|AL THURAYA
ALTIA|ATLANTIA
ALTIS|ALTIS HOTELS
ALVAD|ALVADONNA
ALYOU|All You Need Hotels
AMAEV|Amazing Evolution Hotels
AMALI|AMALIA HOTELS
AMAN|AMANRESORTS
AMAR|AMARA INTERNATIONAL HOTEL AND RESORTS
AMATH|AMATHUS
AMAYA|AMAYA HOTELS
AMAZO|AMAZONIA HOTEIS
AMBAS|THE AMBASSADOR GROUP
AMDOR|
AMEC|AMERICAS
AMERI|AMERIAN
AMHOT|AM HOTELS
AMIC|AMIC HOTELS
AMIHC|
AMORA|AMORA HOTELS
AMRES|AM RESORTS
AMREY|AMREY HOTELES
AMRNG|AMARIN GROUP
AMSHA|AMHSA MARINA HOTELS & RESORTS
AMSTE|AMSTERDAM CITY HOTELS
AMURA|AMURA HOTELES
ANA|ANA HOTELS
ANANT|ANANTARA
ANDK|ANDAKIRA GROUP
ANDRA|ANDRAS HOUSE GROUP
ANDRI|GRUPO ANDRIA
ANEMO|ANEMON HOTELS
ANGEL|HOTELES DEL ANGEL
ANIA|HOTELANIA
ANIMA|ANIMA HOTELS
ANTAR|ANTARISUITE
ANTOS|
ANYA|ANYAVEE HOTELS
AOBG|AONANG BURI GROUP
APEEJ|APEEJAY SURRENDRA PARK HOTELS
APEX|APEX HOTELS
APHOT|AP HOTELS & RESORTS
APINN|APARTMENTS INN
APKG|
APLAY|APARTAMENTALIA
APLEN|APLEND
APOLL|APOLLO HOTELS & RESORTS
APPAR|APPART' CITY
AQUA|AQUA HOTEL
AQUAH|AQUA HOTELS AND RESORTS
AQUAR|AQUARIA Hotels
AQUAS|AQUASOL HOTELS
AQUEE|
AQUIL|AQUILA
AQUIS|Aquis Hotels & Resorts
ARAIZ|ARAIZA HOTELES
ARAM|
ARANW|Aranwa Hotels resorts & Spa
ARANZ|ARANZAZU HOTELES
ARC|
ARCAD|ARCADIA
ARCEA|ARCEA HOTELES
ARCH|
ARCO|HOTÉIS ARCO
ARCOS|Hoteles los Arcos
ARCOT|ARCOTEL
ARENA|ARENA HOTELS
ARETU|ARENATURIST
ARGO|ARGO CONSULTING
ARHOT|AR HOTELES (ALMERIMAR RESORT HOTELES)
ARHR|Archipelago Hotels & Resorts
ARIST|ARISTOS
AROHT|AROMAR HOTELES
ARPHA|ARP-HANSEN HOTEL GROUP
ARRIV|ARRIVA HOTELES
ARTIE|ARTIEM
ARUBY|ASIAN RUBY
ARYAD|THE ARYADUTA HOTEL & RESORT
AS|AS HOTELES
ASCOT|ASCOTT INTERNATIONAL
ASHLE|ASHLEE GROUP
ASIA|ASIA HOTELS
ASKA|ASKA HOTELS
ASPEN|ASPEN
ASPIR|ASPIRE APARTMENTS & RESORTS
ASTER|ASTERIA RESORTS & HOTELES
ASTON|ASTON
ASTOT|ASTOTEL
ASTRO|ASTRON HOTEIS
ASUR|ASUR HOTELES
ATAHO|ATAHOTELS
ATHOL|ATLANTIS HOLIDAY GROUP
ATHOT|ATH HOTELES 
ATIRA|ATIRAM HOTELS
ATLAN|ATLANTICA HOTELS
ATLHO|ATLAS HOTELS
ATLIS|ATLANTIS
ATOLL|
ATRIU|ATRIUM HOTELS
ATT|HOTELS ATTICA21
ATTID|ATTIDUDE HOTELS
AUG|AUGUSTOS HOTEIS
AUROR|AURORA RESORTS & HOTELS
AUSIN|AUSTRIA INTERNATIONAL HOTELS
AUSTH|AUSTROTEL HotelbetriebsgmbH
AUSTR|AUSTRIA TREND
AVALO|AVALON RESORTS
AVETR|AVETRAVEL
AVILI|Avillion Hotel Group
AVILL|AVILLA HOSPITALITY
AXEL|AXEL HOTELS
AXIS|AXIS HOTEIS & GOLFE
AYDHT|AYDINBEY HOTELS
AYH|A & H HOTELES
AYRE|AYRE
AYRES|AYRES HOTELES
AZHO|A-Z HOTELS
AZIMU|Azimut Hotels
AZULI|AZULINEHOTELS
BAAN|BAAN KRATING HOTELS
BAGLI|BAGLIONI HOTELS
BAGUS|BAGUS DISCOVERY
BAHIA|BAHIA PRINCIPE CLUB & RESORTS
BAIA|Hoteis Baia
BAIY|BAIYOKE GROUP
BAJAH|BAJA HOTELS
BALAI|Balaia
BALBO|BALBOA HOTELES
BALDE|BALDERRAMA HOTELES
BALI|GRUPO BALI
BALIG|BALI GARDEN GROUP
BALIR|BALI RICH LUXURY VILLA
BALLA|Balladins
BANDA|BANDARA
BANTI|BANTITA GROUP
BANYA|BANYAN TREE HOTELS AND RESORTS
BARCE|BARCELO HOTELES
BARCH|BARCELONA CITY HOTELS
BARHO|Baron Hotels & Resorts Egypt
BARNA|BARNACLES
BARON|BARON SERVICE
BARUT|
BASE|BASE BACKPACKERS
BASTI|BASTION HOTELS
BATAI|GROUPE HOTELIER BATAILLE
BAWAG|
BAY|BAYVIEW INTERNATIONAL HOTELS AND RESORTS
BAYGA|BAY GARDENS RESORTS
BBHOT|B&B HOTELS
BBINN|BBINN
BBIRE|B&B IRELAND
BCNAP|BARCELONA APARTMENT
BDL|BDL HOTELS
BEACH|BEACHCOMBER
BEATR|BEATRIZ HOTELES
BEAUF|BEAUFORT HOTELS
BEEHI|BEEHIVE HOTELS
BEIJU|BEIJUAN HOTELES
BELAI|
BELAM|BELAMBRA
BELLA|BELLAMAR
BELLE|BELLEVUE HOTELS
BELMO|Belmond
BELVD|BELVEDERE HOTELS
BELVE|BELVER
BELVI|BELLA VILLA GROUP
BENID|HOTELES BENIDORM
BENIK|BENIKEA
BENIN|BENINTER
BENSA|BENSAUDE TURISMO
BERES|
BERNA|BERNARDIN
BERTA|BERTANI GROUP
BESPO|BESPOKE HOTELS
BEST|BEST HOTELS
BESTW|BEST WESTERN
BETA|BETA HOTELES
BG|BG HOTELES
BH|BERN HOTELS & RESORT
BHDGE|
BHHOT|BH HOTELES
BHR|BERJAYA HOTELS & RESORTS
BINMA|
BLACK|BLACK SEA HOTELS
BLAU|BLAU HOTELS
BLAUP|BLAU PARC HOTELS
BLISS|BLISS APARTMENTS
BLUE|BLUE BAY
BLUED|Blue Diamond Hotels and Resorts
BLUEG|BLUEGR MAMIDAKIS HOTELS
BLUES|HOTELS & RESORTS BLUE SEA
BLUET|BLUE TREE
BLUGR|BLUE & GREEN
BMC|BMC HOTELS
BMR|
BMV|Bali Management Villas
BOITA|BOI TAULL
BONDI|BONDIAHOTELS
BONHT|Bon hotels
BOREI|BOREI ANGKOR HOTELS GROUP
BOSCO|BOSCOLO HOTELS
BOSSO|BOSSOTEL
BOURB|BOURBON HOTÉIS & RESORTS
BOUST|BOUSTEAD HOLDINGS BHD.
BOUTI|BOUTIQUE HOTEL MANAGEMENT ASIA
BOYCE|HOTELES BOYCE
BOYD|BOYD GAMING CORPORATION
BQ|BQ HOTELES
BRAVA|COSTA BRAVA VERD HOTELS
BRAVO|BRAVO TOURISM
BRI|BRISTOL HOTEIS
BRIDA|
BRIDG|BRIDGESTREET ACCOMMODATIONS LONDON LIMITED
BRIHO|BRISAS HOTELS & RESORTS
BRISA|RENTALMAR
BRITA|BRITANNIA HOTELS
BRITH|BRIT HOTEL
BROAD|
BROCH|BROCHNER HOTELS
BROHO|
